Conference,School,Abbr,Team,Color,Lat,Long,K,Logo,,ESPN
D1 Independents,Massachusetts,,Minutemen,#572932 ,42.377314,-72.53603,1,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/UMass_Amherst_Athletics_logo.svg/1200px-UMass_Amherst_Athletics_logo.svg.png,,
Mountain West,UNLV,UNLV,Runnin Rebels,#b10202 ,36.086254,-115.016722,1,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/2439.gif,,http://espn.go.com/college-football/team/_/id/2439/unlv-rebels
Pac-12,Southern California,USC,Trojans,#990000 ,34.01404,-118.288008,1,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/30.gif,,http://espn.go.com/college-football/team/_/id/30/usc-trojans
American,South Fla.,USF,Bulls,#006747 ,27.975965,-82.503346,1,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/58.gif,,http://espn.go.com/college-football/team/_/id/58/south-florida-bulls
Mountain West,Utah St.,UTST,Aggies,#0F2439 ,41.751739,-111.81158,1,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Utah_State_Aggies_logo.svg/1200px-Utah_State_Aggies_logo.svg.png,,http://espn.go.com/college-football/team/_/id/328/utah-St.-aggies
Pac-12,Utah,UTAH,Utes,#CC0000 ,40.759977,-111.84884,1,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/254.gif,,http://espn.go.com/college-football/team/_/id/254/utah-utes
Conference USA,UTEP,UTEP,Miners,#B1B3B3 ,31.773334,-106.507966,1,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/2638.gif,,http://espn.go.com/college-football/team/_/id/2638/utep-miners
Conference USA,UTSA,UTSA,Roadrunners,#f15a22 ,29.416877,-98.478893,1,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/UTSA_Roadrunners_logo.svg/1200px-UTSA_Roadrunners_logo.svg.png,,
SEC,Vanderbilt,VAND,Commodores,#866d4b ,36.144019,-86.808907,1,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/238.gif,,http://espn.go.com/college-football/team/_/id/238/vanderbilt-commodores
ACC,Virginia,UVA,Cavaliers,#F84C1E ,38.031117,-78.513687,1,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Virginia_Cavaliers_text_logo.svg/2000px-Virginia_Cavaliers_text_logo.svg.png,,http://espn.go.com/college-football/team/_/id/258/virginia-cavaliers
ACC,Virginia Tech,VT,Hokies,#630031 ,37.219997,-80.418048,1,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/259.gif,,http://espn.go.com/college-football/team/_/id/259/virginia-tech-hokies
ACC,Wake Forest,WAKE,Demon Deacons,#a67f31 ,36.130575,-80.25456,1,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/154.gif,,http://espn.go.com/college-football/team/_/id/154/wake-forest-demon-deacons
Pac-12,Washington,WASH,Huskies,#4B2E83 ,47.650314,-122.301613,3,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/264.gif,,http://espn.go.com/college-football/team/_/id/264/washington-huskies
Pac-12,Washington St.,WSST,Cougars,#5E6A71 ,46.731829,-117.160467,1,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/265.gif,,http://espn.go.com/college-football/team/_/id/265/washington-St.-cougars
Big 12,West Virginia,WVU,Mountaineers,#EAAA00 ,39.650176,-79.95508,1,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/West_Virginia_Mountaineers_logo.svg/994px-West_Virginia_Mountaineers_logo.svg.png,,http://espn.go.com/college-football/team/_/id/277/west-virginia-mountaineers
Conference USA,Western Ky.,WKU,Hilltoppers,#c60c30 ,36.984751,-86.4594,1,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/98.gif,,http://espn.go.com/college-football/team/_/id/98/western-kentucky-hilltoppers
MAC,Western Mich.,WMIC,Broncos,#6C4023 ,42.285751,-85.601093,1,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/2711.gif,,http://espn.go.com/college-football/team/_/id/2711/western-michigan-broncos
Big Ten,Wisconsin,WISC,Badgers,#9b0000 ,43.069936,-89.412678,1,https://cdn.bleacherreport.net/images/team_logos/328x328/wisconsin_badgers_football.png,,http://espn.go.com/college-football/team/_/id/275/wisconsin-badgers
Mountain West,Wyoming,WYO,Cowboys,#492f24 ,41.311701,-105.568263,1,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Wyoming_Athletics_logo.svg/2000px-Wyoming_Athletics_logo.svg.png,,http://espn.go.com/college-football/team/_/id/2751/wyoming-cowboys
,Liberty,,,#0A254E ,37.354495,-79.175057,0,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Liberty_Flames_wordmark.svg/1200px-Liberty_Flames_wordmark.svg.png,,
